code,cluster
6182,2
6711,4
6064,1
6272,4
6100,1
6148,5
6225,2
6901,5
6136,2
6107,1
6173,5
6199,2
6163,8
6194,1
6070,1
6147,5
6224,2
6128,0
6046,1
6057,1
6009,5
6385,8
6386,0
6912,4
6732,7
6215,5
6355,0
6044,5
6184,2
6180,3
6098,1
6247,4
6195,2
6387,0
6092,1
6134,8
6420,9
6140,8
6154,8
6216,2
6120,0
6214,5
6023,3
6411,5
6262,2
6110,0
6248,2
6058,1
6183,2
6116,5
6315,6
6066,1
6928,6
6723,8
6222,2
6203,1
6042,1
6408,1
6131,8
6926,2
6207,5
6178,5
6072,1
6906,2
6202,5
6360,8
6097,1
6065,1
6924,4
6206,1
6401,1
6223,2
6026,3
6280,2
6302,6
6209,5
6227,2
6211,5
6396,0
6907,2
6038,3
6196,2
6091,1
6221,2
6177,5
6176,5
6050,3
6743,1
6905,8
6157,8
6081,1
6738,1
6193,2
6112,5
6327,4
6132,5
6391,0
6088,1
6047,1
6095,1
6171,5
6405,7
6255,4
6067,1
6233,2
6035,3
6281,2
6257,4
6019,5
6226,0
6305,6
6052,3
6102,1
6927,6
6008,5
6254,4
6113,5
6747,4
6393,0
6245,6
6394,0
6903,5
6271,4
6417,0
6269,0
6119,5
6114,5
6001,3
6923,4
6371,8
6253,4
6321,4
6921,7
6915,4
6714,7
6710,4
6003,5
6264,2
6734,4
6377,7
6158,8
6314,8
6085,1
6031,3
6118,5
6374,8
6170,2
6130,8
6123,5
6151,8
6096,1
5007,0
6421,2
6037,3
6156,8
6741,7
6929,2
6918,8
6087,1
6006,8
6011,3
6503,4
6276,4
6213,5
6346,0
6303,6
6139,8
6749,3
6229,2
6022,8
6367,8
6258,2
6434,9
6335,4
6032,3
6381,0
6188,8
6187,2
6197,8
6706,7
6370,8
6167,8
6260,8
6744,9
6015,5
6384,0
6742,9
6406,7
6142,8
6210,4
6155,8
6267,4
6306,6
6902,5
6059,1
6041,3
6105,3
6126,5
6093,1
6166,2
6104,3
6433,7
6220,5
6718,9
6277,4
6395,0
6268,4
6021,5
6208,1
6910,4
6375,7
6002,0
6159,3
6189,4
6705,7
6425,7
6273,4
6175,5
6205,1
6274,2
6354,9
6332,4
6219,5
6027,1
6083,1
6133,8
6373,8
6127,4
6341,7
6323,4
6252,4
6330,4
6716,4
6137,8
5003,0
6750,8
6190,2
6174,5
6152,8
6712,7
6403,7
6312,6
6270,4
6217,2
6164,2
6161,8
6246,6
6106,3
6048,3
6436,9
6012,5
6379,7
6082,8
6138,8
6432,1
6201,2
6218,5
6301,2
6356,9
6165,2
6075,1
6916,8
10002,7
6181,2
6090,1
6904,4
6347,4
6397,0
6060,1
6704,8
6418,9
6376,0
6700,0
6160,8
6428,7
6043,3
6263,9
6328,4
6311,4
6357,8
6261,8
6349,7
6232,4
6153,8
6380,0
6345,4
6350,7
6237,8
6249,4
6017,5
6117,5
6733,4
6018,5
6185,4
6424,1
6212,2
6427,7
6275,4
6122,0
6313,7
6310,6
6720,0
6435,9
6073,1
6364,0
6231,2
6143,5
6103,0
6409,7
6251,4
6715,7
6078,1
6737,4
6307,2
6200,2
6169,2
6340,4
6426,7
6236,8
6259,8
6049,3
6702,0
6917,4
6234,2
6372,8
6383,0
6422,4
6279,4
6727,7
6014,5
6709,7
6243,6
6162,8
6415,9
6029,7
6388,0
6913,4
6235,2
6724,7
6339,9
6407,7
6304,6
6730,8
6416,9
6919,8
6402,7
6429,7
6007,5
6703,0
6204,1
6366,6
6413,1
6363,9
6040,3
6033,8
6053,1
6101,9
6079,1
6343,4
6168,2
6368,8
6228,4
6309,7
5004,0
6084,1
6754,7
6115,9
6025,3
6707,7
6076,0
6728,4
6108,0
6036,3
6125,6
6192,2
6419,6
6099,1
6068,1
5002,0
6329,4
6039,3
6423,6
6331,4
6034,3
6369,9
6344,4
6721,0
6250,4
6908,4
6121,0
6191,4
6240,6
6735,4
6389,4
6404,7
6412,4
6746,6
6198,2
6324,4
6752,4
6124,0
6410,4
6701,0
6004,3
6051,2
6109,3
6336,4
5006,0
6736,4
6731,8
6501,3
6502,3
6016,7
6726,4
6753,8
6333,4
6111,5
6719,9
6725,9
5005,0
6061,1
6504,3
6141,8
6063,1
6186,2
6149,8
6145,5
6013,5
6150,8
6179,5
6020,5
6146,5
6062,1
6094,2
6129,5
6278,4
6739,0
6362,8
6925,4
6717,6
6358,4
6713,8
6005,1
6359,3
7018,0
7038,5
7066,3
7067,1
7036,2
7042,4
7071,1
7055,7
7074,5
7080,1
7034,2
7063,4
7029,8
7039,8
7009,0
7058,7
7061,4
7043,0
7073,5
7035,8
7027,8
7076,1
7078,8
7048,9
7004,4
7022,6
7049,1
7046,8
7013,9
7014,6
7026,2
7008,4
7065,4
7054,9
7040,4
7031,5
7024,2
7010,9
7056,7
7053,7
7045,4
7060,7
7032,2
7057,7
7021,6
7059,7
7070,7
7037,5
7075,0
7052,7
7050,1
7017,0
7047,1
7081,1
7028,2
7072,5
7051,9
7044,0
7030,8
7041,8
7015,9
7068,1
7012,6
7069,1
7007,6
7019,0
7005,4
7002,4
7025,2
7064,4
7077,0
7079,3
7020,0
7003,4
7016,0
7006,4
7023,4
7011,9
7001,5
7062,3
7033,1
